2020-10-01 08:14:10.514081+00:00 nozzle: 1 | time: 1601540050.5140815 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.573081+00:00 nozzle: 1 | time: 1601540050.573082 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.606081+00:00 nozzle: 1 | time: 1601540050.6060812 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.653083+00:00 nozzle: 1 | time: 1601540050.6530833 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.701081+00:00 nozzle: 1 | time: 1601540050.701081 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.766082+00:00 nozzle: 1 | time: 1601540050.7660823 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.804600+00:00 nozzle: 1 | time: 1601540050.8046002 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.835601+00:00 nozzle: 1 | time: 1601540050.8356018 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.903602+00:00 nozzle: 1 | time: 1601540050.9036024 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.904614+00:00 nozzle: 1 | time: 1601540050.9046142 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.946601+00:00 nozzle: 1 | time: 1601540050.9466019 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:10.977603+00:00 nozzle: 1 | time: 1601540050.977603 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.021603+00:00 nozzle: 1 | time: 1601540051.021603 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.056601+00:00 nozzle: 1 | time: 1601540051.0566018 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.088601+00:00 nozzle: 1 | time: 1601540051.0886016 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.121606+00:00 nozzle: 1 | time: 1601540051.1216063 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.169601+00:00 nozzle: 1 | time: 1601540051.1696017 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.199600+00:00 nozzle: 1 | time: 1601540051.199601 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.233601+00:00 nozzle: 1 | time: 1601540051.2336018 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.234603+00:00 nozzle: 1 | time: 1601540051.2346032 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.235601+00:00 nozzle: 1 | time: 1601540051.2356017 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.305601+00:00 nozzle: 1 | time: 1601540051.3056018 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.907601+00:00 nozzle: 1 | time: 1601540051.9076018 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:11.964601+00:00 nozzle: 1 | time: 1601540051.964601 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:12.000601+00:00 nozzle: 1 | time: 1601540052.0006013 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:12.001600+00:00 nozzle: 1 | time: 1601540052.0016 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:12.032601+00:00 nozzle: 1 | time: 1601540052.0326014 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:12.064603+00:00 nozzle: 1 | time: 1601540052.0646038 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:12.065605+00:00 nozzle: 1 | time: 1601540052.0656054 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:12.114600+00:00 nozzle: 1 | time: 1601540052.1146 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:12.153601+00:00 nozzle: 1 | time: 1601540052.1536012 | location 0 | delay: 0 | duration: 1
2020-10-01 08:14:12.454602+00:00 nozzle: 1 | time: 1601540052.4546027 | location 0 | delay: 0 | duration: 1
